us,ms,s
7.01331e+06,7013.31,7.01331
7.19318e+06,7193.18,7.19318
7.18397e+06,7183.97,7.18397
7.21964e+06,7219.64,7.21964
7.12989e+06,7129.89,7.12989
7.02908e+06,7029.08,7.02908
7.04034e+06,7040.34,7.04034
7.01309e+06,7013.09,7.01309
7.04905e+06,7049.05,7.04905
7.02638e+06,7026.38,7.02638
7.02681e+06,7026.81,7.02681
7.03394e+06,7033.94,7.03394
7.02291e+06,7022.91,7.02291
7.01731e+06,7017.31,7.01731
7.02444e+06,7024.44,7.02444
7.00757e+06,7007.57,7.00757
7.02345e+06,7023.45,7.02345
6.99556e+06,6995.56,6.99556
7.01192e+06,7011.92,7.01192
7.01701e+06,7017.01,7.01701
7.00898e+06,7008.98,7.00898
7.02067e+06,7020.67,7.02067
7.03817e+06,7038.17,7.03817
7.02091e+06,7020.91,7.02091
7.02091e+06,7020.91,7.02091
7.03416e+06,7034.16,7.03416
7.02864e+06,7028.64,7.02864
7.08232e+06,7082.32,7.08232
7.02082e+06,7020.82,7.02082
7.0233e+06,7023.3,7.0233
7.07065e+06,7070.65,7.07065
7.02395e+06,7023.95,7.02395
7.01394e+06,7013.94,7.01394
7.03027e+06,7030.27,7.03027
7.02704e+06,7027.04,7.02704
7.01812e+06,7018.12,7.01812
7.04178e+06,7041.78,7.04178
6.99549e+06,6995.49,6.99549
7.02725e+06,7027.25,7.02725
6.9893e+06,6989.3,6.9893
7.00478e+06,7004.78,7.00478
6.99378e+06,6993.78,6.99378
7.02889e+06,7028.89,7.02889
6.98076e+06,6980.76,6.98076
7.01364e+06,7013.64,7.01364
7.02672e+06,7026.72,7.02672
7.01775e+06,7017.75,7.01775
7.01142e+06,7011.42,7.01142
6.98294e+06,6982.94,6.98294
6.99618e+06,6996.18,6.99618
7.01117e+06,7011.17,7.01117
7.02805e+06,7028.05,7.02805
6.99194e+06,6991.94,6.99194
6.99875e+06,6998.75,6.99875
7.01524e+06,7015.24,7.01524
7.02404e+06,7024.04,7.02404
7.00303e+06,7003.03,7.00303
7.00264e+06,7002.64,7.00264
7.00552e+06,7005.52,7.00551
7.02183e+06,7021.83,7.02183
7.01016e+06,7010.16,7.01016
7.03925e+06,7039.25,7.03925
7.08639e+06,7086.39,7.08639
7.47403e+06,7474.03,7.47403
8.11382e+06,8113.82,8.11382
9.20528e+06,9205.28,9.20528
7.10286e+06,7102.86,7.10286
6.99253e+06,6992.53,6.99253
6.98359e+06,6983.59,6.98359
7.03224e+06,7032.24,7.03224
6.99447e+06,6994.47,6.99447
6.98148e+06,6981.48,6.98148
6.99165e+06,6991.65,6.99165
7.00022e+06,7000.22,7.00022
6.98663e+06,6986.63,6.98663
6.97819e+06,6978.19,6.97819
7.00004e+06,7000.04,7.00004
6.97953e+06,6979.53,6.97953
6.99758e+06,6997.58,6.99758
6.97239e+06,6972.39,6.97239
6.97526e+06,6975.26,6.97526
6.99332e+06,6993.31,6.99331
6.9966e+06,6996.6,6.9966
7.07492e+06,7074.92,7.07492
6.99388e+06,6993.88,6.99388
6.98032e+06,6980.32,6.98032
6.97728e+06,6977.28,6.97728
6.98577e+06,6985.77,6.98577
6.99743e+06,6997.43,6.99743
7.00198e+06,7001.98,7.00198
6.98124e+06,6981.24,6.98124
6.9787e+06,6978.7,6.9787
6.98357e+06,6983.57,6.98357
7.00949e+06,7009.49,7.00949
6.98268e+06,6982.68,6.98268
6.97005e+06,6970.05,6.97005
6.9656e+06,6965.6,6.9656
6.98418e+06,6984.18,6.98418
7.00682e+06,7006.82,7.00682
6.97687e+06,6976.87,6.97687
