us,ms,s
8236.7,8.2367,0.0082367
8060.3,8.0603,0.0080603
7790.6,7.7906,0.0077906
8144.1,8.1441,0.0081441
8038.3,8.0383,0.0080383
7125.5,7.1255,0.0071255
7307.4,7.3074,0.0073074
7227.3,7.2273,0.0072273
7495.9,7.4959,0.0074959
7732.4,7.7324,0.0077324
8147.7,8.1477,0.0081477
7906.2,7.9062,0.0079062
7581.7,7.5817,0.0075817
7568.4,7.5684,0.0075684
8087,8.087,0.008087
7316.2,7.3162,0.0073162
7824.1,7.8241,0.0078241
8259.1,8.2591,0.0082591
7686.2,7.6862,0.0076862
7945.9,7.9459,0.0079459
7950.3,7.9503,0.0079503
8482.1,8.4821,0.0084821
8224.5,8.2245,0.0082245
7800.9,7.8009,0.0078009
7919.3,7.9193,0.0079193
8114.4,8.1144,0.0081144
7475.4,7.4754,0.0074754
7214.9,7.2149,0.0072149
7183.9,7.1839,0.0071839
7330.4,7.3304,0.0073304
7275,7.275,0.007275
7204.4,7.2044,0.0072044
7153.2,7.1532,0.0071532
7815.9,7.8159,0.0078159
7329.1,7.3291,0.0073291
7423.4,7.4234,0.0074234
7341.6,7.3416,0.0073416
8793.6,8.7936,0.0087936
7946.2,7.9462,0.0079462
7823.4,7.8234,0.0078234
7924.1,7.9241,0.0079241
7998,7.998,0.007998
8071,8.071,0.008071
8159.8,8.1598,0.0081598
8200.4,8.2004,0.0082004
7986.3,7.9863,0.0079863
7932.3,7.9323,0.0079323
7456.3,7.4563,0.0074563
7207.3,7.2073,0.0072073
7431.5,7.4315,0.0074315
7868.8,7.8688,0.0078688
7635.9,7.6359,0.0076359
8025.2,8.0252,0.0080252
7915.9,7.9159,0.0079159
7653.2,7.6532,0.0076532
7571.3,7.5713,0.0075713
7727,7.727,0.007727
7150,7.15,0.00715
7376.8,7.3768,0.0073768
7139.2,7.1392,0.0071392
7409.8,7.4098,0.0074098
7125.4,7.1254,0.0071254
7165.2,7.1652,0.0071652
7178.7,7.1787,0.0071787
7263.3,7.2633,0.0072633
8554.2,8.5542,0.0085542
7420.2,7.4202,0.0074202
7251.3,7.2513,0.0072513
7591.2,7.5912,0.0075912
7934.7,7.9347,0.0079347
8414,8.414,0.008414
9316.5,9.3165,0.0093165
8189.9,8.1899,0.0081899
7075,7.075,0.007075
7459.8,7.4598,0.0074598
8082.1,8.0821,0.0080821
7249.9,7.2499,0.0072499
7045.2,7.0452,0.0070452
7188.7,7.1887,0.0071887
7034.7,7.0347,0.0070347
7064.7,7.0647,0.0070647
7054.2,7.0542,0.0070542
7184.8,7.1848,0.0071848
7054.9,7.0549,0.0070549
7249.4,7.2494,0.0072494
7279.4,7.2794,0.0072794
7544.6,7.5446,0.0075446
7313.6,7.3136,0.0073136
7254.8,7.2548,0.0072548
7287,7.287,0.007287
7398.4,7.3984,0.0073984
7077.7,7.0777,0.0070777
7083.1,7.0831,0.0070831
7058.2,7.0582,0.0070582
7041.7,7.0417,0.0070417
8212.7,8.2127,0.0082127
7784.2,7.7842,0.0077842
7845.7,7.8457,0.0078457
7837.6,7.8376,0.0078376
7035.3,7.0353,0.0070353
