us,ms,s
892.2,0.8922,0.0008922
881.2,0.8812,0.0008812
988.9,0.9889,0.0009889
881.2,0.8812,0.0008812
880.3,0.8803,0.0008803
878.2,0.8782,0.0008782
882.7,0.8827,0.0008827
882.3,0.8823,0.0008823
882.1,0.8821,0.0008821
896.7,0.8967,0.0008967
880.8,0.8808,0.0008808
893.6,0.8936,0.0008936
922.7,0.9227,0.0009227
884.2,0.8842,0.0008842
883.8,0.8838,0.0008838
879.9,0.8799,0.0008799
883.2,0.8832,0.0008832
880.9,0.8809,0.0008809
884.1,0.8841,0.0008841
881.8,0.8818,0.0008818
894.6,0.8946,0.0008946
892.8,0.8928,0.0008928
882.4,0.8824,0.0008824
879,0.879,0.000879
884.6,0.8846,0.0008846
884.1,0.8841,0.0008841
878.4,0.8784,0.0008784
897.5,0.8975,0.0008975
880.9,0.8809,0.0008809
883.1,0.8831,0.0008831
902.4,0.9024,0.0009024
885,0.885,0.000885
908.4,0.9084,0.0009084
889.3,0.8893,0.0008893
879.5,0.8795,0.0008795
880.9,0.8809,0.0008809
884.5,0.8845,0.0008845
883.1,0.8831,0.0008831
882.5,0.8825,0.0008825
901.3,0.9013,0.0009013
901.8,0.9018,0.0009018
880.8,0.8808,0.0008808
883.9,0.8839,0.0008839
877.3,0.8773,0.0008773
895.8,0.8958,0.0008958
881.2,0.8812,0.0008812
880.9,0.8809,0.0008809
884.1,0.8841,0.0008841
985.6,0.9856,0.0009856
883.8,0.8838,0.0008838
882.3,0.8823,0.0008823
881.1,0.8811,0.0008811
883.3,0.8833,0.0008833
879.5,0.8795,0.0008795
880.7,0.8807,0.0008807
877.6,0.8776,0.0008776
880.2,0.8802,0.0008802
880.2,0.8802,0.0008802
962.1,0.9621,0.0009621
998.9,0.9989,0.0009989
900.8,0.9008,0.0009008
886.4,0.8864,0.0008864
880,0.88,0.00088
879.5,0.8795,0.0008795
880.1,0.8801,0.0008801
883.2,0.8832,0.0008832
910,0.91,0.00091
882.2,0.8822,0.0008822
883.7,0.8837,0.0008837
883,0.883,0.000883
957.1,0.9571,0.0009571
1731.2,1.7312,0.0017312
888,0.888,0.000888
882.5,0.8825,0.0008825
881.4,0.8814,0.0008814
881.7,0.8817,0.0008817
921.9,0.9219,0.0009219
958.5,0.9585,0.0009585
977.9,0.9779,0.0009779
1347.9,1.3479,0.0013479
1044.1,1.0441,0.0010441
1048.2,1.0482,0.0010482
1165.7,1.1657,0.0011657
1045,1.045,0.001045
879.5,0.8795,0.0008795
880.1,0.8801,0.0008801
1009.2,1.0092,0.0010092
911,0.911,0.000911
883.7,0.8837,0.0008837
978.3,0.9783,0.0009783
949.2,0.9492,0.0009492
903.2,0.9032,0.0009032
968.2,0.9682,0.0009682
1048.4,1.0484,0.0010484
978.3,0.9783,0.0009783
944.5,0.9445,0.0009445
1046,1.046,0.001046
975.7,0.9757,0.0009757
1041.9,1.0419,0.0010419
976.8,0.9768,0.0009768
