us,ms,s
8.51836e+07,85183.6,85.1836
8.73156e+07,87315.6,87.3156
9.09679e+07,90967.9,90.9679
8.93762e+07,89376.2,89.3762
9.11497e+07,91149.7,91.1497
9.27961e+07,92796.1,92.7961
8.95634e+07,89563.4,89.5634
9.07606e+07,90760.6,90.7606
9.059e+07,90590,90.59
9.26691e+07,92669.1,92.6691
9.18005e+07,91800.5,91.8005
9.01531e+07,90153.1,90.1531
8.94466e+07,89446.6,89.4466
8.69152e+07,86915.2,86.9152
9.80023e+07,98002.3,98.0023
9.44267e+07,94426.7,94.4267
9.15492e+07,91549.2,91.5492
9.09131e+07,90913.1,90.9131
9.23038e+07,92303.8,92.3038
9.21616e+07,92161.6,92.1616
9.90562e+07,99056.2,99.0562
9.25757e+07,92575.7,92.5757
9.14491e+07,91449.1,91.4491
9.56581e+07,95658.1,95.6581
9.13323e+07,91332.3,91.3323
9.07133e+07,90713.3,90.7133
8.85293e+07,88529.3,88.5293
9.46892e+07,94689.2,94.6892
9.77616e+07,97761.6,97.7616
9.81972e+07,98197.2,98.1972
8.90613e+07,89061.3,89.0613
8.87702e+07,88770.2,88.7702
8.80566e+07,88056.6,88.0566
8.88657e+07,88865.7,88.8657
9.38038e+07,93803.8,93.8038
1.09606e+08,109606,109.606
1.05888e+08,105888,105.888
9.33497e+07,93349.7,93.3497
9.5816e+07,95816,95.816
8.82394e+07,88239.4,88.2394
8.87932e+07,88793.2,88.7932
9.12258e+07,91225.8,91.2258
9.07432e+07,90743.2,90.7432
9.57089e+07,95708.9,95.7089
9.01049e+07,90104.9,90.1049
8.62491e+07,86249.1,86.2491
9.62517e+07,96251.7,96.2517
8.86581e+07,88658.1,88.6581
9.52387e+07,95238.7,95.2387
8.54717e+07,85471.7,85.4717
9.31145e+07,93114.5,93.1145
9.15815e+07,91581.5,91.5815
9.79139e+07,97913.9,97.9139
9.27289e+07,92728.9,92.7289
9.5412e+07,95412,95.412
8.96362e+07,89636.2,89.6362
9.06099e+07,90609.9,90.6099
9.02224e+07,90222.4,90.2224
8.66416e+07,86641.6,86.6416
8.96577e+07,89657.7,89.6577
9.10232e+07,91023.2,91.0232
9.07028e+07,90702.8,90.7028
1.01266e+08,101266,101.266
1.14377e+08,114377,114.377
8.62989e+07,86298.9,86.2989
8.92136e+07,89213.6,89.2136
8.99154e+07,89915.4,89.9154
9.3518e+07,93518,93.518
9.19197e+07,91919.7,91.9197
8.78778e+07,87877.8,87.8778
8.73829e+07,87382.9,87.3829
9.02083e+07,90208.3,90.2083
8.9103e+07,89103,89.103
8.88722e+07,88872.2,88.8722
8.71038e+07,87103.8,87.1038
8.69683e+07,86968.3,86.9683
8.60599e+07,86059.9,86.0599
9.28134e+07,92813.4,92.8134
9.41871e+07,94187.1,94.1871
8.95454e+07,89545.4,89.5454
8.50442e+07,85044.2,85.0442
9.01215e+07,90121.5,90.1215
8.89868e+07,88986.8,88.9868
9.35389e+07,93538.9,93.5389
9.13488e+07,91348.8,91.3488
8.92978e+07,89297.8,89.2978
8.64491e+07,86449.1,86.4491
8.89537e+07,88953.7,88.9537
9.22675e+07,92267.5,92.2675
9.16687e+07,91668.7,91.6687
9.18261e+07,91826.1,91.8261
9.24142e+07,92414.2,92.4142
9.31613e+07,93161.3,93.1613
9.41206e+07,94120.6,94.1206
8.89082e+07,88908.2,88.9082
8.91207e+07,89120.7,89.1207
8.99251e+07,89925.1,89.9251
8.87888e+07,88788.8,88.7888
9.8822e+07,98822,98.822
9.09932e+07,90993.2,90.9932
