us,ms,s
135.9,0.1359,0.0001359
128.9,0.1289,0.0001289
130.9,0.1309,0.0001309
125.9,0.1259,0.0001259
127.8,0.1278,0.0001278
129.8,0.1298,0.0001298
128.9,0.1289,0.0001289
135.2,0.1352,0.0001352
128.2,0.1282,0.0001282
235.1,0.2351,0.0002351
128.9,0.1289,0.0001289
139.3,0.1393,0.0001393
131.7,0.1317,0.0001317
129.5,0.1295,0.0001295
127.7,0.1277,0.0001277
128.1,0.1281,0.0001281
126.8,0.1268,0.0001268
128.8,0.1288,0.0001288
126.4,0.1264,0.0001264
127,0.127,0.000127
126.9,0.1269,0.0001269
167.2,0.1672,0.0001672
125.7,0.1257,0.0001257
128.4,0.1284,0.0001284
127.8,0.1278,0.0001278
130.9,0.1309,0.0001309
128.9,0.1289,0.0001289
129.7,0.1297,0.0001297
139.5,0.1395,0.0001395
128.5,0.1285,0.0001285
128.3,0.1283,0.0001283
128.1,0.1281,0.0001281
126.3,0.1263,0.0001263
128.2,0.1282,0.0001282
127.7,0.1277,0.0001277
127.5,0.1275,0.0001275
130.8,0.1308,0.0001308
127.7,0.1277,0.0001277
133.5,0.1335,0.0001335
131.2,0.1312,0.0001312
129.4,0.1294,0.0001294
126.2,0.1262,0.0001262
126,0.126,0.000126
126.6,0.1266,0.0001266
128.7,0.1287,0.0001287
129.9,0.1299,0.0001299
128.1,0.1281,0.0001281
128.1,0.1281,0.0001281
131.4,0.1314,0.0001314
130.9,0.1309,0.0001309
127.7,0.1277,0.0001277
128.8,0.1288,0.0001288
127.4,0.1274,0.0001274
128.6,0.1286,0.0001286
127.4,0.1274,0.0001274
128.4,0.1284,0.0001284
125,0.125,0.000125
127,0.127,0.000127
127.9,0.1279,0.0001279
130,0.13,0.00013
126.7,0.1267,0.0001267
127.7,0.1277,0.0001277
129.1,0.1291,0.0001291
128,0.128,0.000128
128.2,0.1282,0.0001282
130.3,0.1303,0.0001303
129.4,0.1294,0.0001294
128.5,0.1285,0.0001285
129.3,0.1293,0.0001293
126.6,0.1266,0.0001266
128.1,0.1281,0.0001281
128.2,0.1282,0.0001282
126.8,0.1268,0.0001268
127.6,0.1276,0.0001276
128.9,0.1289,0.0001289
131.3,0.1313,0.0001313
126.5,0.1265,0.0001265
128.1,0.1281,0.0001281
126.4,0.1264,0.0001264
129.1,0.1291,0.0001291
125.6,0.1256,0.0001256
127.9,0.1279,0.0001279
130,0.13,0.00013
127.5,0.1275,0.0001275
126.3,0.1263,0.0001263
128.4,0.1284,0.0001284
127.4,0.1274,0.0001274
125.4,0.1254,0.0001254
128.2,0.1282,0.0001282
129.1,0.1291,0.0001291
130.8,0.1308,0.0001308
131.3,0.1313,0.0001313
126.5,0.1265,0.0001265
128,0.128,0.000128
125.9,0.1259,0.0001259
126.1,0.1261,0.0001261
129.3,0.1293,0.0001293
129.6,0.1296,0.0001296
132.7,0.1327,0.0001327
126.1,0.1261,0.0001261
